z,val,err,probe,type,RA,DEC
0.0298,35.4648,0.278746,sne_ia,mu,336.382,38.9844
0.03007,35.4164,0.184841,sne_ia,mu,78.6992,7.0504
0.03093,35.4926,0.166476,sne_ia,mu,258.901,16.322
0.03136,35.6481,0.206672,sne_ia,mu,174.507,-32.3308
0.03072,35.9224,0.399302,sne_ia,mu,247.171,39.5535
0.03072,35.406,0.332119,sne_ia,mu,247.171,39.5535
0.03072,35.3374,0.375292,sne_ia,mu,247.171,39.5535
0.03013,35.565,0.183722,sne_ia,mu,330.454,13.0553
0.03107,35.67,0.236835,sne_ia,mu,21.346,-18.1724
0.03107,35.5409,0.184896,sne_ia,mu,21.346,-18.1724
0.03132,35.5877,0.169094,sne_ia,mu,240.675,37.3596
0.03093,35.5304,0.283582,sne_ia,mu,258.901,16.322
0.03156,35.6675,0.174531,sne_ia,mu,128.237,-3.8579
0.03141,35.4957,0.175954,sne_ia,mu,127.889,-1.1994
0.03141,35.5793,0.14868,sne_ia,mu,127.889,-1.1994
0.03141,35.4841,0.153803,sne_ia,mu,127.889,-1.1994
0.03241,35.772,0.224228,sne_ia,mu,239.127,20.046
0.03241,35.7428,0.226764,sne_ia,mu,239.127,20.046
0.03241,35.7867,0.216659,sne_ia,mu,239.127,20.046
0.03075,35.6231,0.320886,sne_ia,mu,218.486,3.7988
0.03107,35.6461,0.196214,sne_ia,mu,21.346,-18.1724
0.03264,35.5602,0.185563,sne_ia,mu,205.847,-19.9437
0.03123,35.9119,0.273901,sne_ia,mu,259.458,40.8811
0.03081,35.7017,0.164289,sne_ia,mu,200.78,52.6491
0.03081,35.707,0.22057,sne_ia,mu,200.78,52.6491
0.03081,35.6474,0.19424,sne_ia,mu,200.78,52.6491
0.03081,35.6847,0.188076,sne_ia,mu,200.78,52.6491
0.03279,35.7279,0.17805,sne_ia,mu,100.26,-38.0386
0.03207,35.4592,0.276064,sne_ia,mu,135.056,-13.634
0.03158,35.4896,0.148675,sne_ia,mu,183.061,56.1794
0.03174,35.6746,0.20211,sne_ia,mu,160.674,58.8438
0.03201,35.576,0.196814,sne_ia,mu,240.965,39.9901
0.03212,35.8562,0.258808,sne_ia,mu,243.224,-21.6302
0.03212,35.8577,0.294619,sne_ia,mu,243.224,-21.6302
0.03183,35.8808,0.19004,sne_ia,mu,152.333,14.9924
0.03183,35.6656,0.274525,sne_ia,mu,152.333,14.9924
0.03189,35.9082,0.198168,sne_ia,mu,346.664,-12.5728
0.03246,35.6638,0.156049,sne_ia,mu,20.2284,4.8053
0.03246,35.6366,0.169859,sne_ia,mu,20.2284,4.8053
0.03246,35.6431,0.148421,sne_ia,mu,20.2284,4.8053
0.0337,35.6329,0.204026,sne_ia,mu,90.8194,-26.8986
0.03337,35.8381,0.178659,sne_ia,mu,248.333,23.7313
0.03212,35.7248,0.15355,sne_ia,mu,243.224,-21.6302
0.03212,35.7992,0.326022,sne_ia,mu,243.224,-21.6302
0.0325,35.7324,0.22019,sne_ia,mu,171.413,22.8304
0.0325,35.8907,0.225741,sne_ia,mu,171.413,22.8304
0.03314,35.6164,0.168015,sne_ia,mu,181.357,-21.4004
0.03245,35.6643,0.150947,sne_ia,mu,50.753,1.3619
0.03245,35.7268,0.162633,sne_ia,mu,50.753,1.3619
0.03336,35.8159,0.198961,sne_ia,mu,255.973,31.5017
0.03292,35.8647,0.150987,sne_ia,mu,359.635,-18.7092
0.03292,35.8516,0.143619,sne_ia,mu,359.635,-18.7092
0.03309,35.7797,0.159699,sne_ia,mu,355.467,-8.6379
0.03344,35.829,0.273673,sne_ia,mu,156.767,16.0187
